c1,c2,stim,isPlural
dust,man,dustman,0
wing,man,wingman,0
marks,man,marksman,0
lobster,man,lobsterman,0
committee,man,committeeman,0
lands,man,landsman,0
spokes,man,spokesman,0
warehouse,man,warehouseman,0
bat,man,batman,0
straw,man,strawman,0
jury,man,juryman,0
watch,man,watchman,0
newspaper,man,newspaperman,0
seeds,man,seedsman,0
free,man,freeman,0
drafts,man,draftsman,0
rounds,man,roundsman,0
draughts,man,draughtsman,0
iron,man,ironman,0
harvest,man,harvestman,0
cave,man,caveman,0
train,man,trainman,0
patrol,man,patrolman,0
pig,man,pigman,0
fire,man,fireman,0
fisher,man,fisherman,0
beggar,man,beggarman,0
liege,man,liegeman,0
money,man,moneyman,0
excise,man,exciseman,0
steel,man,steelman,0
water,man,waterman,0
clergy,man,clergyman,0
council,man,councilman,0
sheep,man,sheepman,0
alder,man,alderman,0
hang,man,hangman,0
laundry,man,laundryman,0
mail,man,mailman,0
states,man,statesman,0
quarry,man,quarryman,0
crags,man,cragsman,0
link,man,linkman,0
husband,man,husbandman,0
outdoors,man,outdoorsman,0
bus,man,busman,0
assembly,man,assemblyman,0
tax,man,taxman,0
fresh,man,freshman,0
plants,man,plantsman,0
bow,man,bowman,0
hunts,man,huntsman,0
wire,man,wireman,0
widow,man,widowman,0
beads,man,beadsman,0
head,man,headman,0
chap,man,chapman,0
chess,man,chessman,0
repair,man,repairman,0
noble,man,nobleman,0
pantry,man,pantryman,0
cracks,man,cracksman,0
meat,man,meatman,0
dairy,man,dairyman,0
cab,man,cabman,0
sand,man,sandman,0
lumber,man,lumberman,0
garbage,man,garbageman,0
mad,man,madman,0
place,man,placeman,0
anchor,man,anchorman,0
switch,man,switchman,0
air,man,airman,0
space,man,spaceman,0
sound,man,soundman,0
crew,man,crewman,0
middle,man,middleman,0
swords,man,swordsman,0
posse,man,posseman,0
gun,man,gunman,0
pen,man,penman,0
links,man,linksman,0
baggage,man,baggageman,0
business,man,businessman,0
pitch,man,pitchman,0
plains,man,plainsman,0
barge,man,bargeman,0
oars,man,oarsman,0
wolf,man,wolfman,0
woods,man,woodsman,0
post,man,postman,0
oil,man,oilman,0
frog,man,frogman,0
taxi,man,taximan,0
book,man,bookman,0
bell,man,bellman,0
hod,man,hodman,0
pack,man,packman,0
malt,man,maltman,0
press,man,pressman,0
aircrew,man,aircrewman,0
camera,man,cameraman,0
privateers,man,privateersman,0
livery,man,liveryman,0
desk,man,deskman,0
fields,man,fieldsman,0
trencher,man,trencherman,0
kins,man,kinsman,0
stable,man,stableman,0
helms,man,helmsman,0
earth,man,earthman,0
pot,man,potman,0
delivery,man,deliveryman,0
longbow,man,longbowman,0
congress,man,congressman,0
boat,man,boatman,0
merchant,man,merchantman,0
stock,man,stockman,0
foot,man,footman,0
highway,man,highwayman,0
artillery,man,artilleryman,0
bar,man,barman,0
frontiers,man,frontiersman,0
vestry,man,vestryman,0
charge,man,chargeman,0
gas,man,gasman,0
lay,man,layman,0
foe,man,foeman,0
hotel,man,hotelman,0
show,man,showman,0
steers,man,steersman,0
swag,man,swagman,0
school,man,schoolman,0
motor,man,motorman,0
mat,man,matman,0
hit,man,hitman,0
yard,man,yardman,0
working,man,workingman,0
nursery,man,nurseryman,0
trades,man,tradesman,0
weather,man,weatherman,0
longshore,man,longshoreman,0
journey,man,journeyman,0
sandwich,man,sandwichman,0
trigger,man,triggerman,0
sea,man,seaman,0
railway,man,railwayman,0
shaggy,mane,shaggymane,0
over,mantel,overmantel,0
bit,map,bitmap,0
bit,maps,bitmaps,1
route,march,routemarch,0
brood,mare,broodmare,0
night,mare,nightmare,0
brood,mares,broodmares,1
night,mares,nightmares,1
bench,mark,benchmark,0
trade,mark,trademark,0
hash,mark,hashmark,0
pock,mark,pockmark,0
birth,mark,birthmark,0
post,mark,postmark,0
foot,mark,footmark,0
book,mark,bookmark,0
tide,mark,tidemark,0
finger,mark,fingermark,0
mint,mark,mintmark,0
water,mark,watermark,0
press,mark,pressmark,0
land,mark,landmark,0
ear,mark,earmark,0
hall,mark,hallmark,0
style,mark,stylemark,0
book,marker,bookmarker,0
green,market,greenmarket,0
hyper,markets,hypermarkets,1
birth,marks,birthmarks,1
foot,marks,footmarks,1
hall,marks,hallmarks,1
ear,marks,earmarks,1
pock,marks,pockmarks,1
book,marks,bookmarks,1
land,marks,landmarks,1
tide,marks,tidemarks,1
water,marks,watermarks,1
trade,marks,trademarks,1
post,marks,postmarks,1
finger,marks,fingermarks,1
bench,marks,benchmarks,1
foul,mart,foulmart,0
gas,mask,gasmask,0
stone,mason,stonemason,0
free,masonry,freemasonry,0
stone,masons,stonemasons,1
land,mass,landmass,0
ground,mass,groundmass,0
land,masses,landmasses,1
top,mast,topmast,0
main,mast,mainmast,0
mizzen,mast,mizzenmast,0
fore,mast,foremast,0
mizen,mast,mizenmast,0
jigger,mast,jiggermast,0
pay,master,paymaster,0
choir,master,choirmaster,0
station,master,stationmaster,0
whore,master,whoremaster,0
task,master,taskmaster,0
quarter,master,quartermaster,0
spy,master,spymaster,0
toast,master,toastmaster,0
school,master,schoolmaster,0
scout,master,scoutmaster,0
house,master,housemaster,0
grand,master,grandmaster,0
web,master,webmaster,0
lock,master,lockmaster,0
quiz,master,quizmaster,0
post,master,postmaster,0
band,master,bandmaster,0
head,master,headmaster,0
ring,master,ringmaster,0
yard,master,yardmaster,0
train,master,trainmaster,0
house,masters,housemasters,1
task,masters,taskmasters,1
head,masters,headmasters,1
quarter,masters,quartermasters,1
yard,masters,yardmasters,1
school,masters,schoolmasters,1
band,masters,bandmasters,1
post,masters,postmasters,1
ring,masters,ringmasters,1
station,masters,stationmasters,1
toast,masters,toastmasters,1
scout,masters,scoutmasters,1
pay,masters,paymasters,1
choir,masters,choirmasters,1
head,mastership,headmastership,0
main,masts,mainmasts,1
top,masts,topmasts,1
mizzen,masts,mizzenmasts,1
door,mat,doormat,0
room,mate,roommate,0
school,mate,schoolmate,0
check,mate,checkmate,0
camp,mate,campmate,0
house,mate,housemate,0
mess,mate,messmate,0
class,mate,classmate,0
bunk,mate,bunkmate,0
ship,mate,shipmate,0
stable,mate,stablemate,0
stale,mate,stalemate,0
work,mate,workmate,0
table,mate,tablemate,0
team,mate,teammate,0
flat,mate,flatmate,0
play,mate,playmate,0
help,mate,helpmate,0
team,mates,teammates,1
bunk,mates,bunkmates,1
check,mates,checkmates,1
school,mates,schoolmates,1
ship,mates,shipmates,1
stable,mates,stablemates,1
room,mates,roommates,1
stale,mates,stalemates,1
class,mates,classmates,1
help,mates,helpmates,1
mess,mates,messmates,1
play,mates,playmates,1
work,mates,workmates,1
flat,mates,flatmates,1
after,math,aftermath,0
after,maths,aftermaths,1
door,mats,doormats,1
water,meal,watermeal,0
corn,meal,cornmeal,0
oat,meal,oatmeal,0
bone,meal,bonemeal,0
horse,meat,horsemeat,0
sweet,meat,sweetmeat,0
force,meat,forcemeat,0
mince,meat,mincemeat,0
crab,meat,crabmeat,0
sweet,meats,sweetmeats,1
para,medic,paramedic,0
help,meet,helpmeet,0
musk,melon,muskmelon,0
water,melon,watermelon,0
water,melons,watermelons,1
musk,melons,muskmelons,1
jacks,melt,jacksmelt,0
clergy,men,clergymen,1
tax,men,taxmen,1
fisher,men,fishermen,1
frontiers,men,frontiersmen,1
lines,men,linesmen,1
freed,men,freedmen,1
bar,men,barmen,1
longshore,men,longshoremen,1
cow,men,cowmen,1
patrol,men,patrolmen,1
bow,men,bowmen,1
bell,men,bellmen,1
bat,men,batmen,1
guards,men,guardsmen,1
fire,men,firemen,1
cave,men,cavemen,1
alder,men,aldermen,1
gentle,men,gentlemen,1
heads,men,headsmen,1
underclass,men,underclassmen,1
news,men,newsmen,1
bands,men,bandsmen,1
artillery,men,artillerymen,1
bond,men,bondmen,1
chair,men,chairmen,1
congress,men,congressmen,1
watch,men,watchmen,1
drafts,men,draftsmen,1
mad,men,madmen,1
pitch,men,pitchmen,1
tribes,men,tribesmen,1
towns,men,townsmen,1
herds,men,herdsmen,1
crafts,men,craftsmen,1
hunts,men,huntsmen,1
aircraft,men,aircraftmen,1
gas,men,gasmen,1
foot,men,footmen,1
swords,men,swordsmen,1
fresh,men,freshmen,1
free,men,freemen,1
kins,men,kinsmen,1
strong,men,strongmen,1
plow,men,plowmen,1
journey,men,journeymen,1
stable,men,stablemen,1
show,men,showmen,1
chess,men,chessmen,1
militia,men,militiamen,1
grooms,men,groomsmen,1
link,men,linkmen,1
service,men,servicemen,1
wood,men,woodmen,1
air,men,airmen,1
snow,men,snowmen,1
husband,men,husbandmen,1
muscle,men,musclemen,1
ferry,men,ferrymen,1
bus,men,busmen,1
laundry,men,laundrymen,1
infantry,men,infantrymen,1
oars,men,oarsmen,1
clans,men,clansmen,1
handy,men,handymen,1
trencher,men,trenchermen,1
post,men,postmen,1
newspaper,men,newspapermen,1
states,men,statesmen,1
select,men,selectmen,1
grounds,men,groundsmen,1
delivery,men,deliverymen,1
jury,men,jurymen,1
spokes,men,spokesmen,1
helms,men,helmsmen,1
assembly,men,assemblymen,1
merchant,men,merchantmen,1
sales,men,salesmen,1
quarry,men,quarrymen,1
sea,men,seamen,1
lay,men,laymen,1
livery,men,liverymen,1
railway,men,railwaymen,1
lumber,men,lumbermen,1
committee,men,committeemen,1
cavalry,men,cavalrymen,1
church,men,churchmen,1
camera,men,cameramen,1
press,men,pressmen,1
plains,men,plainsmen,1
frog,men,frogmen,1
repair,men,repairmen,1
boat,men,boatmen,1
barge,men,bargemen,1
place,men,placemen,1
middle,men,middlemen,1
dust,men,dustmen,1
brake,men,brakemen,1
bonds,men,bondsmen,1
business,men,businessmen,1
gun,men,gunmen,1
oil,men,oilmen,1
line,men,linemen,1
bats,men,batsmen,1
bogey,men,bogeymen,1
nursery,men,nurserymen,1
council,men,councilmen,1
dairy,men,dairymen,1
yachts,men,yachtsmen,1
mail,men,mailmen,1
cattle,men,cattlemen,1
rifle,men,riflemen,1
steers,men,steersmen,1
milk,men,milkmen,1
work,men,workmen,1
train,men,trainmen,1
ice,men,icemen,1
weather,men,weathermen,1
vestry,men,vestrymen,1
signal,men,signalmen,1
backwoods,men,backwoodsmen,1
midship,men,midshipmen,1
motor,men,motormen,1
door,men,doormen,1
fields,men,fieldsmen,1
lands,men,landsmen,1
hang,men,hangmen,1
police,men,policemen,1
head,men,headmen,1
highway,men,highwaymen,1
country,men,countrymen,1
noble,men,noblemen,1
woods,men,woodsmen,1
crew,men,crewmen,1
coach,men,coachmen,1
yard,men,yardmen,1
bush,men,bushmen,1
letter,men,lettermen,1
trades,men,tradesmen,1
working,men,workingmen,1
law,men,lawmen,1
sports,men,sportsmen,1
sand,men,sandmen,1
pen,men,penmen,1
marks,men,marksmen,1
space,men,spacemen,1
horse,men,horsemen,1
house,men,housemen,1
anchor,men,anchormen,1
gun,metal,gunmetal,0
taxi,meter,taximeter,0
audio,meter,audiometer,0
flux,meter,fluxmeter,0
volt,meter,voltmeter,0
gauss,meter,gaussmeter,0
ohm,meter,ohmmeter,0
volt,meters,voltmeters,1
ohm,meters,ohmmeters,1
audio,meters,audiometers,1
photo,meters,photometers,1
taxi,meters,taximeters,1
field,mice,fieldmice,1
butter,milk,buttermilk,0
fore,milk,foremilk,0
soy,milk,soymilk,0
gin,mill,ginmill,0
lumber,mill,lumbermill,0
grist,mill,gristmill,0
wind,mill,windmill,0
saw,mill,sawmill,0
spice,mill,spicemill,0
tread,mill,treadmill,0
wind,mills,windmills,1
tread,mills,treadmills,1
grist,mills,gristmills,1
saw,mills,sawmills,1
master,mind,mastermind,0
feeble,mindedness,feeblemindedness,0
baby,minder,babyminder,0
net,minder,netminder,0
master,minds,masterminds,1
gold,mine,goldmine,0
gold,mines,goldmines,1
top,minnow,topminnow,0
apple,mint,applemint,0
pepper,mint,peppermint,0
cat,mint,catmint,0
spear,mint,spearmint,0
horse,mint,horsemint,0
pepper,mints,peppermints,1
head,mistress,headmistress,0
task,mistress,taskmistress,0
post,mistress,postmistress,0
school,mistress,schoolmistress,0
post,mistresses,postmistresses,1
school,mistresses,schoolmistresses,1
head,mistresses,headmistresses,1
task,mistresses,taskmistresses,1
book,mobile,bookmobile,0
snow,mobile,snowmobile,0
blood,mobile,bloodmobile,0
blood,mobiles,bloodmobiles,1
snow,mobiles,snowmobiles,1
book,mobiles,bookmobiles,1
hood,mold,hoodmold,0
super,mom,supermom,0
scare,monger,scaremonger,0
word,monger,wordmonger,0
fashion,monger,fashionmonger,0
iron,monger,ironmonger,0
war,monger,warmonger,0
whore,monger,whoremonger,0
rumour,monger,rumourmonger,0
cheese,monger,cheesemonger,0
rumor,monger,rumormonger,0
gossip,monger,gossipmonger,0
scandal,monger,scandalmonger,0
fish,monger,fishmonger,0
hate,monger,hatemonger,0
news,monger,newsmonger,0
gossip,mongering,gossipmongering,0
scandal,mongering,scandalmongering,0
war,mongering,warmongering,0
scare,mongers,scaremongers,1
war,mongers,warmongers,1
fish,mongers,fishmongers,1
hate,mongers,hatemongers,1
scandal,mongers,scandalmongers,1
rumor,mongers,rumormongers,1
iron,mongers,ironmongers,1
twelve,month,twelvemonth,0
twelve,months,twelvemonths,1
honey,moon,honeymoon,0
honey,moons,honeymoons,1
dust,mop,dustmop,0
roll,mops,rollmops,1
spike,moss,spikemoss,0
ditch,moss,ditchmoss,0
hawk,moth,hawkmoth,0
grand,mother,grandmother,0
step,mother,stepmother,0
house,mother,housemother,0
god,mother,godmother,0
house,mothers,housemothers,1
grand,mothers,grandmothers,1
god,mothers,godmothers,1
hood,mould,hoodmould,0
sea,mount,seamount,0
tit,mouse,titmouse,0
shrew,mouse,shrewmouse,0
field,mouse,fieldmouse,0
motor,mouth,motormouth,0
large,mouth,largemouth,0
loud,mouth,loudmouth,0
cotton,mouth,cottonmouth,0
frog,mouth,frogmouth,0
goal,mouth,goalmouth,0
small,mouth,smallmouth,0
blabber,mouth,blabbermouth,0
wry,mouth,wrymouth,0
blabber,mouths,blabbermouths,1
cotton,mouths,cottonmouths,1
motor,mouths,motormouths,1
goal,mouths,goalmouths,1
loud,mouths,loudmouths,1
hay,mow,haymow,0
hay,mows,haymows,1
over,much,overmuch,0
over,muchness,overmuchness,0
ear,muff,earmuff,0
ear,muffs,earmuffs,1
seas,nail,seasnail,0
hob,nail,hobnail,0
tree,nail,treenail,0
hang,nail,hangnail,0
thumb,nail,thumbnail,0
finger,nail,fingernail,0
door,nail,doornail,0
toe,nail,toenail,0
hob,nails,hobnails,1
finger,nails,fingernails,1
hang,nails,hangnails,1
thumb,nails,thumbnails,1
toe,nails,toenails,1
file,name,filename,0
fore,name,forename,0
nick,name,nickname,0
nick,names,nicknames,1
gingers,nap,gingersnap,0
cat,nap,catnap,0
whippers,napper,whippersnapper,0
kid,napper,kidnapper,0
whippers,nappers,whippersnappers,1
kid,nappers,kidnappers,1
kid,napping,kidnapping,0
cat,naps,catnaps,1
gingers,naps,gingersnaps,1
super,naturals,supernaturals,1
dread,naught,dreadnaught,0
goose,neck,gooseneck,0
little,neck,littleneck,0
leather,neck,leatherneck,0
bottle,neck,bottleneck,0
rough,neck,roughneck,0
fiddle,neck,fiddleneck,0
wry,neck,wryneck,0
swan,neck,swanneck,0
rubber,neck,rubberneck,0
red,neck,redneck,0
turtle,neck,turtleneck,0
crook,neck,crookneck,0
rubber,necker,rubbernecker,0
bottle,necks,bottlenecks,1
turtle,necks,turtlenecks,1
red,necks,rednecks,1
rough,necks,roughnecks,1
crook,necks,crooknecks,1
leather,necks,leathernecks,1
rubber,necks,rubbernecks,1
grand,nephew,grandnephew,0
grand,nephews,grandnephews,1
snowblind,ness,snowblindness,0
airsick,ness,airsickness,0
heartsick,ness,heartsickness,0
seasick,ness,seasickness,0
lovesick,ness,lovesickness,0
overmuch,ness,overmuchness,0
homesick,ness,homesickness,0
bird,nest,birdnest,0
bird,nesting,birdnesting,0
drag,net,dragnet,0
word,net,wordnet,0
fish,net,fishnet,0
ether,net,ethernet,0
hair,net,hairnet,0
hair,nets,hairnets,1
fish,nets,fishnets,1
drag,nets,dragnets,1
grand,niece,grandniece,0
grand,nieces,grandnieces,1
week,night,weeknight,0
mid,night,midnight,0
week,nights,weeknights,1
mid,nights,midnights,1
cat,nip,catnip,0
tins,nips,tinsnips,1
egg,nog,eggnog,0
after,noon,afternoon,0
after,noons,afternoons,1
hook,nose,hooknose,0
blue,nose,bluenose,0
bull,nose,bullnose,0
bladder,nose,bladdernose,0
bottle,nose,bottlenose,0
cone,nose,conenose,0
blue,noses,bluenoses,1
what,not,whatnot,0
key,note,keynote,0
foot,note,footnote,0
bank,note,banknote,0
bank,notes,banknotes,1
key,notes,keynotes,1
foot,notes,footnotes,1
dread,nought,dreadnought,0
wet,nurse,wetnurse,0
bitter,nut,bitternut,0
dough,nut,doughnut,0
thumb,nut,thumbnut,0
beech,nut,beechnut,0
earth,nut,earthnut,0
pig,nut,pignut,0
chest,nut,chestnut,0
butter,nut,butternut,0
cocoa,nut,cocoanut,0
lock,nut,locknut,0
mocker,nut,mockernut,0
coco,nut,coconut,0
candle,nut,candlenut,0
cob,nut,cobnut,0
hazel,nut,hazelnut,0
pea,nut,peanut,0
ground,nut,groundnut,0
cob,nuts,cobnuts,1
chest,nuts,chestnuts,1
ground,nuts,groundnuts,1
coco,nuts,coconuts,1
hazel,nuts,hazelnuts,1
butter,nuts,butternuts,1
beech,nuts,beechnuts,1
pea,nuts,peanuts,1
cut,off,cutoff,0
put,off,putoff,0
trade,off,tradeoff,0
play,off,playoff,0
run,off,runoff,0
take,off,takeoff,0
sell,off,selloff,0
lay,off,layoff,0
kick,off,kickoff,0
blast,off,blastoff,0
pay,off,payoff,0
set,off,setoff,0
turn,off,turnoff,0
lift,off,liftoff,0
stand,off,standoff,0
knock,off,knockoff,0
fall,off,falloff,0
hand,off,handoff,0
turn,offs,turnoffs,1
cut,offs,cutoffs,1
run,offs,runoffs,1
pay,offs,payoffs,1
stand,offs,standoffs,1
fall,offs,falloffs,1
play,offs,playoffs,1
tops,oil,topsoil,0
inners,ole,innersole,0
ins,ole,insole,0
ins,oles,insoles,1
inners,oles,innersoles,1
overt,one,overtone,0
merest,one,merestone,0
gravest,one,gravestone,0
some,one,someone,0
freest,one,freestone,0
bluest,one,bluestone,0
overt,ones,overtones,1
gravest,ones,gravestones,1
freest,ones,freestones,1
milks,ops,milksops,1
tablet,ops,tabletops,1
fibre,optics,fibreoptics,1
fiber,optics,fiberoptics,1
battled,ore,battledore,0
eyes,ore,eyesore,0
beds,ore,bedsore,0
battled,ores,battledores,1
beds,ores,bedsores,1
eyes,ores,eyesores,1
fluid,ounce,fluidounce,0
check,out,checkout,0
buy,out,buyout,0
cut,out,cutout,0
put,out,putout,0
wash,out,washout,0
take,out,takeout,0
hold,out,holdout,0
blow,out,blowout,0
fade,out,fadeout,0
lay,out,layout,0
break,out,breakout,0
walk,out,walkout,0
work,out,workout,0
turn,out,turnout,0
knock,out,knockout,0
close,out,closeout,0
black,out,blackout,0
strike,out,strikeout,0
fall,out,fallout,0
drop,out,dropout,0
print,out,printout,0
look,out,lookout,0
shoot,out,shootout,0
hide,out,hideout,0
cook,out,cookout,0
shake,out,shakeout,0
wipe,out,wipeout,0
shut,out,shutout,0
stake,out,stakeout,0
white,out,whiteout,0
hand,out,handout,0
hang,out,hangout,0
sell,out,sellout,0
fold,out,foldout,0
dug,out,dugout,0
lock,out,lockout,0
try,out,tryout,0
cop,out,copout,0
print,outs,printouts,1
try,outs,tryouts,1
break,outs,breakouts,1
fold,outs,foldouts,1
buy,outs,buyouts,1
cut,outs,cutouts,1
stake,outs,stakeouts,1
sell,outs,sellouts,1
black,outs,blackouts,1
strike,outs,strikeouts,1
walk,outs,walkouts,1
turn,outs,turnouts,1
hang,outs,hangouts,1
cook,outs,cookouts,1
check,outs,checkouts,1
hide,outs,hideouts,1
put,outs,putouts,1
hand,outs,handouts,1
blow,outs,blowouts,1
look,outs,lookouts,1
hold,outs,holdouts,1
shake,outs,shakeouts,1
change,over,changeover,0
lay,over,layover,0
make,over,makeover,0
slip,over,slipover,0
walk,over,walkover,0
cross,over,crossover,0
push,over,pushover,0
stop,over,stopover,0
pull,over,pullover,0
left,over,leftover,0
fly,over,flyover,0
pop,over,popover,0
roll,over,rollover,0
flash,over,flashover,0
sleep,over,sleepover,0
spill,over,spillover,0
hand,over,handover,0
hang,over,hangover,0
turn,over,turnover,0
hold,over,holdover,0
take,over,takeover,0
pull,overs,pullovers,1
make,overs,makeovers,1
turn,overs,turnovers,1
hang,overs,hangovers,1
walk,overs,walkovers,1
fly,overs,flyovers,1
cross,overs,crossovers,1
spill,overs,spillovers,1
stop,overs,stopovers,1
change,overs,changeovers,1
hand,overs,handovers,1
roll,overs,rollovers,1
pop,overs,popovers,1
hold,overs,holdovers,1
push,overs,pushovers,1
closed,own,closedown,0
land,owner,landowner,0
home,owner,homeowner,0
ship,owner,shipowner,0
share,owner,shareowner,0
home,owners,homeowners,1
ship,owners,shipowners,1
land,owners,landowners,1
backs,pace,backspace,0
crawls,pace,crawlspace,0
airs,pace,airspace,0
heads,pace,headspace,0
works,pace,workspace,0
backs,pacer,backspacer,0
backs,paces,backspaces,1
crawls,paces,crawlspaces,1
back,pack,backpack,0
six,pack,sixpack,0
back,packer,backpacker,0
back,packers,backpackers,1
meat,packing,meatpacking,0
back,packing,backpacking,0
back,packs,backpacks,1
key,pad,keypad,0
launch,pad,launchpad,0
ink,pad,inkpad,0
note,pad,notepad,0
shin,pad,shinpad,0
scratch,pad,scratchpad,0
foot,pad,footpad,0
mouse,pad,mousepad,0
key,pads,keypads,1
launch,pads,launchpads,1
note,pads,notepads,1
scratch,pads,scratchpads,1
web,page,webpage,0
home,page,homepage,0
home,pages,homepages,1
after,pains,afterpains,1
grease,paint,greasepaint,0
house,paint,housepaint,0
finger,paint,fingerpaint,0
bed,pan,bedpan,0
dust,pan,dustpan,0
hard,pan,hardpan,0
stew,pan,stewpan,0
dish,pan,dishpan,0
knee,pan,kneepan,0
brain,pan,brainpan,0
sauce,pan,saucepan,0
skid,pan,skidpan,0
wings,pan,wingspan,0
fry,pan,frypan,0
salt,pan,saltpan,0
window,pane,windowpane,0
window,panes,windowpanes,1
wings,pans,wingspans,1
dish,pans,dishpans,1
dust,pans,dustpans,1
bed,pans,bedpans,1
sauce,pans,saucepans,1
skid,pans,skidpans,1
sweat,pants,sweatpants,1
under,pants,underpants,1
note,paper,notepaper,0
wall,paper,wallpaper,0
news,paper,newspaper,0
sand,paper,sandpaper,0
oil,paper,oilpaper,0
fly,paper,flypaper,0
wall,paperer,wallpaperer,0
news,papering,newspapering,0
fly,papers,flypapers,1
sand,papers,sandpapers,1
wall,papers,wallpapers,1
news,papers,newspapers,1
grand,parent,grandparent,0
god,parent,godparent,0
grand,parents,grandparents,1
god,parents,godparents,1
ball,park,ballpark,0
ball,parks,ballparks,1
mouth,part,mouthpart,0
under,part,underpart,0
under,parts,underparts,1
grand,pas,grandpas,1
over,pass,overpass,0
under,pass,underpass,0
over,passes,overpasses,1
under,passes,underpasses,1
fly,past,flypast,0
tooth,paste,toothpaste,0
fish,paste,fishpaste,0
tooth,pastes,toothpastes,1
fly,pasts,flypasts,1
eye,patch,eyepatch,0
cross,patch,crosspatch,0
brier,patch,brierpatch,0
war,path,warpath,0
foot,path,footpath,0
tow,path,towpath,0
tow,paths,towpaths,1
foot,paths,footpaths,1
war,paths,warpaths,1
south,paw,southpaw,0
fore,paws,forepaws,1
south,paws,southpaws,1
tax,payer,taxpayer,0
rate,payer,ratepayer,0
rate,payers,ratepayers,1
tax,payers,taxpayers,1
over,payment,overpayment,0
under,payment,underpayment,0
under,payments,underpayments,1
chick,pea,chickpea,0
cow,pea,cowpea,0
sweet,pea,sweetpea,0
doctors,peak,doctorspeak,0
news,peak,newspeak,0
doubles,peak,doublespeak,0
chick,peas,chickpeas,1
sweet,peas,sweetpeas,1
wood,pecker,woodpecker,0
tee,pee,teepee,0
grounds,peed,groundspeed,0
airs,peed,airspeed,0
ball,pen,ballpen,0
bull,pen,bullpen,0
pig,pen,pigpen,0
play,pen,playpen,0
eight,pence,eightpence,0
four,pence,fourpence,0
two,pence,twopence,0
five,pence,fivepence,0
nine,pence,ninepence,0
ten,pence,tenpence,0
six,pence,sixpence,0
three,pence,threepence,0
half,penny,halfpenny,0
half,pennyworth,halfpennyworth,0
bull,pens,bullpens,1
pig,pens,pigpens,1
play,pens,playpens,1
anchor,people,anchorpeople,1
business,people,businesspeople,1
trades,people,tradespeople,1
lay,people,laypeople,1
spokes,people,spokespeople,1
sales,people,salespeople,1
towns,people,townspeople,1
doorstop,per,doorstopper,0
sharecrop,per,sharecropper,0
eavesdrop,per,eavesdropper,0
wiretap,per,wiretapper,0
kidnap,per,kidnapper,0
surf,perch,surfperch,0
under,performer,underperformer,0
anchor,person,anchorperson,0
drafts,person,draftsperson,0
chair,person,chairperson,0
lay,person,layperson,0
spokes,person,spokesperson,0
news,person,newsperson,0
business,person,businessperson,0
sales,person,salesperson,0
kins,person,kinsperson,0
chair,persons,chairpersons,1
salt,peter,saltpeter,0
zoo,phobia,zoophobia,0
cell,phone,cellphone,0
head,phone,headphone,0
ear,phone,earphone,0
speaker,phone,speakerphone,0
cell,phones,cellphones,1
head,phones,headphones,1
ear,phones,earphones,1
radio,photograph,radiophotograph,0
catch,phrase,catchphrase,0
catch,phrases,catchphrases,1
ice,pick,icepick,0
tooth,pick,toothpick,0
rag,picker,ragpicker,0
nit,picker,nitpicker,0
nit,pickers,nitpickers,1
tooth,picks,toothpicks,1
cow,pie,cowpie,0
pot,pie,potpie,0
pork,pie,porkpie,0
nose,piece,nosepiece,0
cheek,piece,cheekpiece,0
mantle,piece,mantlepiece,0
altar,piece,altarpiece,0
centre,piece,centrepiece,0
show,piece,showpiece,0
mantel,piece,mantelpiece,0
eye,piece,eyepiece,0
cod,piece,codpiece,0
time,piece,timepiece,0
mouth,piece,mouthpiece,0
hair,piece,hairpiece,0
tail,piece,tailpiece,0
center,piece,centerpiece,0
chimney,piece,chimneypiece,0
head,piece,headpiece,0
neck,piece,neckpiece,0
master,piece,masterpiece,0
work,piece,workpiece,0
ear,piece,earpiece,0
show,pieces,showpieces,1
master,pieces,masterpieces,1
altar,pieces,altarpieces,1
ear,pieces,earpieces,1
head,pieces,headpieces,1
eye,pieces,eyepieces,1
time,pieces,timepieces,1
tail,pieces,tailpieces,1
cross,pieces,crosspieces,1
work,pieces,workpieces,1
hair,pieces,hairpieces,1
mantel,pieces,mantelpieces,1
mouth,pieces,mouthpieces,1
cod,pieces,codpieces,1
pot,pies,potpies,1
mag,pies,magpies,1
stool,pigeon,stoolpigeon,0
hands,pike,handspike,0
marlins,pike,marlinspike,0
gar,pike,garpike,0
turn,pike,turnpike,0
turn,pikes,turnpikes,1
sand,pile,sandpile,0
wood,pile,woodpile,0
stock,pile,stockpile,0
stock,piles,stockpiles,1
wood,piles,woodpiles,1
stock,piling,stockpiling,0
overs,pill,overspill,0
overs,pills,overspills,1
ten,pin,tenpin,0
backs,pin,backspin,0
stick,pin,stickpin,0
candle,pin,candlepin,0
breast,pin,breastpin,0
lynch,pin,lynchpin,0
nine,pin,ninepin,0
duck,pin,duckpin,0
hat,pin,hatpin,0
hair,pin,hairpin,0
push,pin,pushpin,0
king,pin,kingpin,0
tie,pin,tiepin,0
scarf,pin,scarfpin,0
downs,pin,downspin,0
head,pin,headpin,0
tails,pin,tailspin,0
tops,pin,topspin,0
clothes,pin,clothespin,0
thole,pin,tholepin,0
blacktop,ping,blacktopping,0
overlap,ping,overlapping,0
horsewhip,ping,horsewhipping,0
kidnap,ping,kidnapping,0
kidnap,pings,kidnappings,1
outcrop,pings,outcroppings,1
head,pins,headpins,1
ten,pins,tenpins,1
