c1,c2,stim,isPlural
toll,bar,tollbar,0
cross,bar,crossbar,0
sand,bar,sandbar,0
side,bar,sidebar,0
handle,bar,handlebar,0
crow,bar,crowbar,0
birch,bark,birchbark,0
shell,bark,shellbark,0
shag,bark,shagbark,0
stringy,bark,stringybark,0
lace,bark,lacebark,0
rope,bark,ropebark,0
tan,bark,tanbark,0
cramp,bark,crampbark,0
smooth,bark,smoothbark,0
cow,barn,cowbarn,0
hand,barrow,handbarrow,0
wheel,barrow,wheelbarrow,0
wheel,barrows,wheelbarrows,1
hand,barrows,handbarrows,1
side,bars,sidebars,1
cross,bars,crossbars,1
handle,bars,handlebars,1
crow,bars,crowbars,1
sand,bars,sandbars,1
data,base,database,0
fire,base,firebase,0
wheel,base,wheelbase,0
wheel,bases,wheelbases,1
data,bases,databases,1
hand,basin,handbasin,0
wash,basin,washbasin,0
wash,basins,washbasins,1
work,basket,workbasket,0
bread,basket,breadbasket,0
hand,basket,handbasket,0
waste,basket,wastebasket,0
work,baskets,workbaskets,1
bread,baskets,breadbaskets,1
waste,baskets,wastebaskets,1
bull,bat,bullbat,0
ding,bat,dingbat,0
brick,bat,brickbat,0
blood,bath,bloodbath,0
foot,bath,footbath,0
bird,bath,birdbath,0
eye,bath,eyebath,0
sun,bather,sunbather,0
sun,bathers,sunbathers,1
bird,baths,birdbaths,1
blood,baths,bloodbaths,1
ding,bats,dingbats,1
brick,bats,brickbats,1
rose,bay,rosebay,0
sick,bay,sickbay,0
sick,bays,sickbays,1
gross,beak,grossbeak,0
half,beak,halfbeak,0
horn,beam,hornbeam,0
sun,beam,sunbeam,0
moon,beam,moonbeam,0
cross,beam,crossbeam,0
sun,beams,sunbeams,1
cross,beams,crossbeams,1
moon,beams,moonbeams,1
butter,bean,butterbean,0
soy,bean,soybean,0
buck,bean,buckbean,0
bog,bean,bogbean,0
horse,bean,horsebean,0
screw,bean,screwbean,0
soy,beans,soybeans,1
bug,bear,bugbear,0
grey,beard,greybeard,0
gray,beard,graybeard,0
crown,beard,crownbeard,0
goats,beard,goatsbeard,0
long,beard,longbeard,0
gray,beards,graybeards,1
